symbol,name,snapshot_time,price_usd,price_change_24h,price_change_percentage_24h,market_cap_usd,market_cap_rank,total_volume,circulating_supply,fetched_at,raw_json
bitcoin,Bitcoin,2025-11-13 08:27:11.083000+00:00,103603.0,-42.47647049886291,-0.04098,2064437869140,1,76575279257,19948012.0,2025-11-13 08:43:55.892715+00:00,"{""id"": ""bitcoin"", ""symbol"": ""btc"", ""name"": ""Bitcoin"", ""image"": ""https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400"", ""current_price"": 103603, ""market_cap"": 2064437869140, ""market_cap_rank"": 1, ""fully_diluted_valuation"": 2064437869140, ""total_volume"": 76575279257, ""high_24h"": 105257, ""low_24h"": 100992, ""price_change_24h"": -42.47647049886291, ""price_change_percentage_24h"": -0.04098, ""market_cap_change_24h"": -1215691784.1264648, ""market_cap_change_percentage_24h"": -0.05885, ""circulating_supply"": 19948012.0, ""total_supply"": 19948012.0, ""max_supply"": 21000000.0, ""ath"": 126080, ""ath_change_percentage"": -17.97241, ""ath_date"": ""2025-10-06T18:57:42.558Z"", ""atl"": 67.81, ""atl_change_percentage"": 152417.05171, ""atl_date"": ""2013-07-06T00:00:00.000Z"", ""roi"": null, ""last_updated"": ""2025-11-13T08:27:11.083Z"", ""price_change_percentage_24h_in_currency"": -0.040982343996059614}"
ethereum,Ethereum,2025-11-13 08:27:11.096000+00:00,3546.2,92.44,2.67664,427798863475,2,38014690766,120696447.9668856,2025-11-13 08:43:55.892715+00:00,"{""id"": ""ethereum"", ""symbol"": ""eth"", ""name"": ""Ethereum"", ""image"": ""https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628"", ""current_price"": 3546.2, ""market_cap"": 427798863475, ""market_cap_rank"": 2, ""fully_diluted_valuation"": 427798863475, ""total_volume"": 38014690766, ""high_24h"": 3583.32, ""low_24h"": 3374.02, ""price_change_24h"": 92.44, ""price_change_percentage_24h"": 2.67664, ""market_cap_change_24h"": 11509387617, ""market_cap_change_percentage_24h"": 2.76476, ""circulating_supply"": 120696447.9668856, ""total_supply"": 120696447.9668856, ""max_supply"": null, ""ath"": 4946.05, ""ath_change_percentage"": -28.4469, ""ath_date"": ""2025-08-24T19:21:03.333Z"", ""atl"": 0.432979, ""atl_change_percentage"": 817272.73832, ""atl_date"": ""2015-10-20T00:00:00.000Z"", ""roi"": {""times"": 44.76065281955831, ""currency"": ""btc"", ""percentage"": 4476.065281955831}, ""last_updated"": ""2025-11-13T08:27:11.096Z"", ""price_change_percentage_24h_in_currency"": 2.6766354688711145}"
